Name,KIT DE ENSAMBLE,idKit
1.- ACERO DE ESTRUCTURA, PLACAS,"KIT ACERO PLACAS VOLTEO 30M^3; 3 EJES; 2 JGOS DE PATIN; 1 EJE RETRACTIL; MODELO TITANIUM (PAREDES TROQ CAL 3/16"" Y RADIOS EN CAL. 3/16""; PISO CAL. 1/4"", TAPA TRASERA EN CAL.. 3/16"") (MODELO 2026)",12296307332
2.- ACERO DE ESTRUCTURA, PERFILES,"KIT ACERO PERFILES VOLTEO 30M^3; 3 EJES; 2 JGOS DE PATIN; 1 EJE RETRACTIL;MODELO TITANIUM (MODELO 2026)",9719481193
3.- ACERO SUSPENSION,,
4.- BARRAS DE COLISION,KIT DE BARRAS DE COLISIÓN PARA VOLTEO 3 EJES (M02),5867097861
5.- ACERO PORTA LLANTAS,KIT DE PORTALLANTAS DOBLE,4959587661
6.- CAJA DE HERRAMIENTAS,KIT DE CAJA DE HERRAMIENTAS CHICA (110CMX46CMX50CM),4934676964
7.- ACERO BASE DE GANCHO DE JALON,KIT DE GANCHO DE JALON ACERO,5753885150
8.- ACERO RETRACTIL,KIT DE RETRACTIL 1 EJE PARA SUSPENSION MODELO 01 TIPO HT300 ACERO,5073777723
9.- ACERO TAPA POSTERIOR DE CHASIS,,
10.- PATAS DE ELEFANTE,KIT 1 PAR DE PATAS DE ELEFANTE,5449202883
11.- ARCOS PARA LONA,KIT ARCO TIPO CABALLETE PARA VOLTEO 30M (1 PZA.),12030734114
12.- CONSUMIBLES VOLTEO,KIT DE CONSUMIBLES VL-30M3,5088658955
13.- REFACCIONES DE VOLTEO,KIT DE REFACCIONES VOLTEO (CILINDRO FORCE - HEMBRA),8970526224
14.- TUBOS Y BARRAS, CILINDRO,"KIT DE TUBOS Y BARRAS PARA CILINDRO DE 220IN (CUMTOM,PARKER, FORCE y HYVA) (PARA MODELOS 2026)",10031337628
15.- TUBOS Y BARRAS, BISAGRA PRINCIPAL,KIT TUBOS Y BARRAS BISAGRA TRASERA VL30M3 (PARA MODELOS 2026),10031373089
16.- TAPA TRASERA, REFACCIONES,"KIT REFACCIONES TAPA TRASERA VOLTEO 30M3, TITANIUM (PARA MODELOS 2026)",10031400659
17.- PATINES, REFACCIONES,KIT 2 JUEGOS DE PATINES AMPRO TJ MULTIMONTAJE REFACCIONES,5111127544
18.- SUSPENSION DE AIRE, REFACCIONES,KIT DE SUSPENSION AIRE AMPRO,7503778589
19.- EJES,KIT DE EJES ACEITE 77.5 BIRLO LARGO,9270925790
20.- EJE RETRACTIL,KIT DE RETRACTIL 1 EJE PARA SUSPENSION MODELO 01 TIPO HT300 REFACCIONES,4895254214
21.- PINTURA,"KIT DE PINTURA PPG VOLTEO 30M, 3 EJES",10032446912
22.- SISTEMA NEUMATICO, MANITAS,KIT DE MANITAS FRENTE (SENCILLAS ROSCABLES PHILLIPS),4995053419
23.- SISTEMA NEUMATICO, FRENOS,"KIT DE SISTEMA DE AIRE DE FRENOS CON ABS HALDEX, 3 EJES (2M,4S)",18202976390
24.- SISTEMA NEUMATICO, SUSPENSION,"KIT SISTEMA DE AIRE PARA SUSPENSIÓN 3 EJES, UN RETRACTIL (VALVULA DE ESTUFA)",18216440768
25.- SISTEMA ELECTRICO,KIT DE SISTEMA ELECTRICO VOLTEOS MODELO 2026,5151238104
26- GACHO DE JALÓN, REFACCIONES,KIT DE GANCHO DE JALON HOLLAND PH400 REFACCIONES (PHILLIPS),4961436214
27.- PUBLICIDAD,KIT DE PUBLICIDAD TITANIUM AMF VOLTEOS,11628670402
28.- BANDEROLAS,KIT DE BANDEROLAS (DOS PIEZAS),5641553924
29.- LONA PRECAUCION DOBLE SEMI REMOLQUE (copy),KIT LONA PRECAUCIÓN DOBLE SEMIRREMOLQUE (PARA PLATAFORMA),9357366356
30.- RINES,KIT DE RINES AMPRO ACERO 24.5 Y RINES AMPRO ALUMINIO 10 VENTILAS FORMA TREPEZOIDAL 24.5 - 1 EJE,4920077285
31.- LLANTAS,KIT DE LLANTA AMULET 11R/ 24.5 - 1 EJE,4919898235
32.- FENDER´S,"KIT DE FENDER TRASERO 1 EJE, MOD. 2026",10519119623
